# stamp t_recv t_estimated err ground_truth t_send
6810 1712823008.222822000 1712823008.202069817 8.67362e-19 1712823008.202705 1712823008.221642
6835 1712823008.247732000 1712823008.227069817 8.67362e-19 1712823008.227706 1712823008.246621
6860 1712823008.272822000 1712823008.252069817 8.67362e-19 1712823008.252707 1712823008.271647
6885 1712823008.297803000 1712823008.277069817 8.67362e-19 1712823008.277708 1712823008.296609
6910 1712823008.322725000 1712823008.302069817 8.67362e-19 1712823008.302709 1712823008.321633
6935 1712823008.347817000 1712823008.327069817 8.67362e-19 1712823008.327710 1712823008.346621
6960 1712823008.372870000 1712823008.352069817 8.67362e-19 1712823008.352711 1712823008.371655
6985 1712823008.397760000 1712823008.377069817 8.67362e-19 1712823008.377712 1712823008.396615
7010 1712823008.422848000 1712823008.402069817 8.67362e-19 1712823008.402713 1712823008.421639
7035 1712823008.447759000 1712823008.427069817 8.67362e-19 1712823008.427714 1712823008.446623
7060 1712823008.472905000 1712823008.452069817 8.67362e-19 1712823008.452715 1712823008.471636
7085 1712823008.497786000 1712823008.477069817 8.67362e-19 1712823008.477716 1712823008.496641
7110 1712823008.522824000 1712823008.502069817 8.67362e-19 1712823008.502717 1712823008.521673
7135 1712823008.547817000 1712823008.527069817 8.67362e-19 1712823008.527718 1712823008.546649
7160 1712823008.572905000 1712823008.552069817 8.67362e-19 1712823008.552719 1712823008.571682
7185 1712823008.597834000 1712823008.577069817 8.67362e-19 1712823008.577720 1712823008.596618
7210 1712823008.622843000 1712823008.602069817 8.67362e-19 1712823008.602721 1712823008.621657
7235 1712823008.647789000 1712823008.627069817 8.67362e-19 1712823008.627722 1712823008.646688
7260 1712823008.672799000 1712823008.652069817 8.67362e-19 1712823008.652723 1712823008.671670
7285 1712823008.697724000 1712823008.677069817 8.67362e-19 1712823008.677724 1712823008.696624
7310 1712823008.722830000 1712823008.702069817 8.67362e-19 1712823008.702725 1712823008.721674
7335 1712823008.747985000 1712823008.727069817 8.67362e-19 1712823008.727726 1712823008.746673
7360 1712823008.772742000 1712823008.752069817 8.67362e-19 1712823008.752727 1712823008.771666
7385 1712823008.797809000 1712823008.777069817 8.67362e-19 1712823008.777728 1712823008.796631
7410 1712823008.822766000 1712823008.802069817 8.67362e-19 1712823008.802729 1712823008.821663
7435 1712823008.847813000 1712823008.827069817 8.67362e-19 1712823008.827730 1712823008.846636
7460 1712823008.872716000 1712823008.852069817 8.67362e-19 1712823008.852731 1712823008.871656
7485 1712823008.897779000 1712823008.877069817 8.67362e-19 1712823008.877732 1712823008.896635
7510 1712823008.922744000 1712823008.902069817 8.67362e-19 1712823008.902733 1712823008.921660
7535 1712823008.947780000 1712823008.927069817 8.67362e-19 1712823008.927734 1712823008.946657
7560 1712823008.972721000 1712823008.952069817 8.67362e-19 1712823008.952735 1712823008.971656
7585 1712823008.997730000 1712823008.977069817 8.67362e-19 1712823008.977736 1712823008.996631
7610 1712823009.022928000 1712823009.002069817 8.67362e-19 1712823009.002737 1712823009.021678
7635 1712823009.047849000 1712823009.027069817 8.67362e-19 1712823009.027738 1712823009.046665
7660 1712823009.072719000 1712823009.052069817 8.67362e-19 1712823009.052739 1712823009.071682
7685 1712823009.097906000 1712823009.077069817 8.67362e-19 1712823009.077740 1712823009.096648
7710 1712823009.122877000 1712823009.102069817 8.67362e-19 1712823009.102741 1712823009.121667
7735 1712823009.147797000 1712823009.127069817 8.67362e-19 1712823009.127742 1712823009.146680
7760 1712823009.172864000 1712823009.152069817 8.67362e-19 1712823009.152743 1712823009.171693
7785 1712823009.197688000 1712823009.177069817 8.67362e-19 1712823009.177744 1712823009.196647
7810 1712823009.222940000 1712823009.202069817 8.67362e-19 1712823009.202745 1712823009.221700
7835 1712823009.247890000 1712823009.227069817 8.67362e-19 1712823009.227746 1712823009.246704
7860 1712823009.272843000 1712823009.252069817 8.67362e-19 1712823009.252747 1712823009.271703
7885 1712823009.297817000 1712823009.277069817 8.67362e-19 1712823009.277748 1712823009.296698
7910 1712823009.322807000 1712823009.302069817 8.67362e-19 1712823009.302749 1712823009.321693
7935 1712823009.347914000 1712823009.327069817 8.67362e-19 1712823009.327750 1712823009.346674
7960 1712823009.372811000 1712823009.352069817 8.67362e-19 1712823009.352751 1712823009.371677
7985 1712823009.397869000 1712823009.377069817 8.67362e-19 1712823009.377752 1712823009.396648
8010 1712823009.422825000 1712823009.402069817 8.67362e-19 1712823009.402753 1712823009.421685
8035 1712823009.447983000 1712823009.427069817 8.67362e-19 1712823009.427754 1712823009.446670
8060 1712823009.472774000 1712823009.452069817 8.67362e-19 1712823009.452755 1712823009.471686
8085 1712823009.497738000 1712823009.477069817 8.67362e-19 1712823009.477756 1712823009.496663
8110 1712823009.522877000 1712823009.502069817 8.67362e-19 1712823009.502757 1712823009.521698
8135 1712823009.547950000 1712823009.527069817 8.67362e-19 1712823009.527758 1712823009.546716
8160 1712823009.572858000 1712823009.552069817 8.67362e-19 1712823009.552759 1712823009.571691
8185 1712823009.597865000 1712823009.577069817 8.67362e-19 1712823009.577760 1712823009.596661
8210 1712823009.622786000 1712823009.602069817 8.67362e-19 1712823009.602761 1712823009.621684
8235 1712823009.647774000 1712823009.627069817 8.67362e-19 1712823009.627762 1712823009.646698
8260 1712823009.672782000 1712823009.652069817 8.67362e-19 1712823009.652763 1712823009.671690
8285 1712823009.697940000 1712823009.677069817 8.67362e-19 1712823009.677764 1712823009.696693
8310 1712823009.722902000 1712823009.702069817 8.67362e-19 1712823009.702765 1712823009.721676
8335 1712823009.747785000 1712823009.727069817 8.67362e-19 1712823009.727766 1712823009.746711
8360 1712823009.772856000 1712823009.752069817 8.67362e-19 1712823009.752767 1712823009.771726
8385 1712823009.797779000 1712823009.777069817 8.67362e-19 1712823009.777768 1712823009.796679
8410 1712823009.822769000 1712823009.802069817 8.67362e-19 1712823009.802769 1712823009.821694
8435 1712823009.847954000 1712823009.827069817 8.67362e-19 1712823009.827770 1712823009.846685
8460 1712823009.872928000 1712823009.852069817 8.67362e-19 1712823009.852771 1712823009.871677
8485 1712823009.897721000 1712823009.877069817 8.67362e-19 1712823009.877772 1712823009.896689
8510 1712823009.922958000 1712823009.902069817 8.67362e-19 1712823009.902773 1712823009.921763
8535 1712823009.947828000 1712823009.927069817 8.67362e-19 1712823009.927774 1712823009.946767
8560 1712823009.972901000 1712823009.952069817 8.67362e-19 1712823009.952775 1712823009.971693
8585 1712823009.997853000 1712823009.977069817 8.67362e-19 1712823009.977776 1712823009.996710
8610 1712823010.022832000 1712823010.002069817 8.67362e-19 1712823010.002777 1712823010.021727
8635 1712823010.047996000 1712823010.027069817 8.67362e-19 1712823010.027778 1712823010.046716
8660 1712823010.072859000 1712823010.052069817 8.67362e-19 1712823010.052779 1712823010.071720
8685 1712823010.097763000 1712823010.077069817 8.67362e-19 1712823010.077780 1712823010.096692
8710 1712823010.122814000 1712823010.102069817 8.67362e-19 1712823010.102781 1712823010.121707
8735 1712823010.148023000 1712823010.127069817 8.67362e-19 1712823010.127782 1712823010.146744
8760 1712823010.172892000 1712823010.152069817 8.67362e-19 1712823010.152783 1712823010.171739
8785 1712823010.197787000 1712823010.177069817 8.67362e-19 1712823010.177784 1712823010.196691
